name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
Internet Advertisements;https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements;Multivariate;Classification;Categorical$Integer$Real;3279;1558;1998
Ionosphere;https://archive.ics.uci.edu/ml/datasets/Ionosphere;Multivariate;Classification;Integer$Real;351;34;1989
Iris;https://archive.ics.uci.edu/ml/datasets/Iris;Multivariate;Classification;Real;150;4;1988
ISOLET;https://archive.ics.uci.edu/ml/datasets/ISOLET;Multivariate;Classification;Real;7797;617;1994
Kinship;https://archive.ics.uci.edu/ml/datasets/Kinship;Relational;Relational-Learning;Categorical;104;12;1990
Labor Relations;https://archive.ics.uci.edu/ml/datasets/Labor+Relations;Multivariate;;Categorical$Integer$Real;57;16;1988
LED Display Domain;https://archive.ics.uci.edu/ml/datasets/LED+Display+Domain;Multivariate$Data-Generator;Classification;Categorical;;7;1988
Lenses;https://archive.ics.uci.edu/ml/datasets/Lenses;Multivariate;Classification;Categorical;24;4;1990
Letter Recognition;https://archive.ics.uci.edu/ml/datasets/Letter+Recognition;Multivariate;Classification;Integer;20000;16;1991
Liver Disorders;https://archive.ics.uci.edu/ml/datasets/Liver+Disorders;Multivariate;;Categorical$Integer$Real;345;7;1990
Logic Theorist;https://archive.ics.uci.edu/ml/datasets/Logic+Theorist;Domain-Theory;;;;;
Lung Cancer;https://archive.ics.uci.edu/ml/datasets/Lung+Cancer;Multivariate;Classification;Integer;32;56;1992
Lymphography;https://archive.ics.uci.edu/ml/datasets/Lymphography;Multivariate;Classification;Categorical;148;18;1988
Mechanical Analysis;https://archive.ics.uci.edu/ml/datasets/Mechanical+Analysis;Multivariate;Classification;Categorical$Integer$Real;209;8;1990
Meta-data;https://archive.ics.uci.edu/ml/datasets/Meta-data;Multivariate;Classification;Categorical$Integer$Real;528;22;1996
Mobile Robots;https://archive.ics.uci.edu/ml/datasets/Mobile+Robots;Domain-Theory;;Categorical$Integer$Real;;;1995
Molecular Biology (Promoter Gene Sequences);https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Promoter+Gene+Sequences%29;Sequential$Domain-Theory;Classification;Categorical;106;58;1990
Molecular Biology (Protein Secondary Structure);https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Protein+Secondary+Structure%29;Sequential;Classification;Categorical;128;;
Molecular Biology (Splice-junction Gene Sequences);https://archive.ics.uci.edu/ml/datasets/Molecular+Biology+%28Splice-junction+Gene+Sequences%29;Sequential$Domain-Theory;Classification;Categorical;3190;61;1992
MONK's Problems;https://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems;Multivariate;Classification;Categorical;432;7;1992
Moral Reasoner;https://archive.ics.uci.edu/ml/datasets/Moral+Reasoner;Domain-Theory;;;202;;1994
Multiple Features;https://archive.ics.uci.edu/ml/datasets/Multiple+Features;Multivariate;Classification;Integer$Real;2000;649;
Mushroom;https://archive.ics.uci.edu/ml/datasets/Mushroom;Multivariate;Classification;Categorical;8124;22;1987
Musk (Version 1);https://archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29;Multivariate;Classification;Integer;476;168;1994
