,algorithm,k,n_samples,n_features,similar_to_baseline,average_time,average_time_std
27,pairwise_kernels,3,10000,10,True,0.0015789951177142836,3.303617652696337e-05
28,faiss,3,10000,50,True,0.0012277082130000018,9.244573811115626e-05
29,rbf_kernel,3,10000,50,True,0.0031269043952857124,4.16353301804718e-05
30,RBF,3,10000,50,True,0.002292320998857142,1.9490262958507292e-05
31,pairwise_kernels,3,10000,50,True,0.0031810716352857144,8.03663625649586e-05
32,faiss,3,10000,150,True,0.003412141935571429,0.0002169136634899646
33,rbf_kernel,3,10000,150,True,0.008126140986857142,0.00014709358983194278
34,RBF,3,10000,150,True,0.006845273664428586,3.670649786712924e-05
35,pairwise_kernels,3,10000,150,True,0.008129064447285722,0.00010345354072978487
36,faiss,3,100000,10,True,0.005774993802571414,0.00016557735522350833
37,rbf_kernel,3,100000,10,True,0.011755123813857129,7.515829630340382e-05
38,RBF,3,100000,10,True,0.00745540327542858,7.021825661370751e-05
39,pairwise_kernels,3,100000,10,True,0.012193463147428571,0.00013397822691464114
40,faiss,3,100000,50,True,0.010511445891428594,0.00012400353123195626
41,rbf_kernel,3,100000,50,True,0.025757507010999964,0.00012976677371859146
42,RBF,3,100000,50,True,0.025215709286857107,0.00013662421874682131
43,pairwise_kernels,3,100000,50,True,0.02577070097271423,0.00018060028694786776
44,faiss,3,100000,150,True,0.022795686627285705,0.0002936453283926165
45,rbf_kernel,3,100000,150,True,0.074703906841,0.010215991116128647
46,RBF,3,100000,150,True,0.07877514547200014,0.011044766570520214
47,pairwise_kernels,3,100000,150,True,0.07240309131828572,0.008701012747267324
48,faiss,5,100,10,True,0.0001610717055713654,7.84724171957246e-06
49,rbf_kernel,5,100,10,True,0.00034870233114283374,3.114824952890921e-05
50,RBF,5,100,10,True,6.254251528571331e-05,3.534026079358781e-06
51,pairwise_kernels,5,100,10,True,0.00035897473300000067,8.388782783954328e-06
52,faiss,5,100,50,True,0.00019405577257144353,2.6429094852007654e-05
53,rbf_kernel,5,100,50,True,0.00037453220642860935,2.3123966460661577e-05
54,RBF,5,100,50,True,7.46735005714072e-05,5.882542179113157e-06
55,pairwise_kernels,5,100,50,True,0.00039735242385709825,1.972851141915316e-05
56,faiss,5,100,150,True,0.00017545316014294649,1.1197214218333325e-05
57,rbf_kernel,5,100,150,True,0.00042948925328580245,2.7437710175685052e-05
58,RBF,5,100,150,True,0.00010061848971424426,1.2918962299560834e-05
59,pairwise_kernels,5,100,150,True,0.0004492022738570865,1.5085172014412051e-05
60,faiss,5,1000,10,True,0.00019372411028565953,9.317819266014029e-06
61,rbf_kernel,5,1000,10,True,0.0004429242911428446,2.8776072881792202e-05
62,RBF,5,1000,10,True,9.650768814286234e-05,8.960822459175814e-06
63,pairwise_kernels,5,1000,10,True,0.0004636676369999415,2.3746596223006404e-05
64,faiss,5,1000,50,True,0.00023619122328591403,7.765019469670604e-06
65,rbf_kernel,5,1000,50,True,0.0005898250547141808,2.203590461186401e-05
66,RBF,5,1000,50,True,0.00017776233999997464,4.346832406546847e-06
67,pairwise_kernels,5,1000,50,True,0.000630370737999913,3.6354880757708897e-05
68,faiss,5,1000,150,True,0.0003284997559999933,1.2752972808856827e-05
69,rbf_kernel,5,1000,150,True,0.0009891223558572296,5.485674553594957e-05
70,RBF,5,1000,150,True,0.00044374594185715715,1.2503865753685204e-05
71,pairwise_kernels,5,1000,150,True,0.0010125425141428812,1.7764645008048984e-05
72,faiss,5,10000,10,True,0.0005667838974285847,1.5773119926961295e-05
73,rbf_kernel,5,10000,10,True,0.0014029649889999486,2.0487686640647043e-05
74,RBF,5,10000,10,True,0.0004779935247142281,7.616035625418454e-06
75,pairwise_kernels,5,10000,10,True,0.00143000642014288,1.5818186581832246e-05
76,faiss,5,10000,50,True,0.0012157000211428955,0.0002140250368079266
77,rbf_kernel,5,10000,50,True,0.002915250286999903,6.338153694829569e-05
78,RBF,5,10000,50,True,0.0022725427398571424,1.6995694891444525e-05
79,pairwise_kernels,5,10000,50,True,0.0029023541374285093,6.656770595550025e-05
80,faiss,5,10000,150,True,0.003301670432571492,0.00014924185191547094
81,rbf_kernel,5,10000,150,True,0.006991994115857258,6.325592996735133e-05
82,RBF,5,10000,150,True,0.00702829684885715,4.871418175003417e-05
83,pairwise_kernels,5,10000,150,True,0.007362903304000025,0.000679306038792895
84,faiss,5,100000,10,True,0.005579051753142787,0.0006165270699379326
85,rbf_kernel,5,100000,10,True,0.01077426376685714,0.00014872804475004527
86,RBF,5,100000,10,True,0.0067978977128570605,2.8927330998095306e-05
87,pairwise_kernels,5,100000,10,True,0.011157055932142806,0.0006319443391667423
88,faiss,5,100000,50,True,0.01131004638071428,0.000699306437270319
89,rbf_kernel,5,100000,50,True,0.028135034412999953,0.0023267256156345195
90,RBF,5,100000,50,True,0.02618163037614275,0.001243589325684155
91,pairwise_kernels,5,100000,50,True,0.03053471247957155,0.0028714484457320567
92,faiss,5,100000,150,True,0.026770054766143015,0.0010340170253192978
93,rbf_kernel,5,100000,150,True,0.08468382976500015,0.008266196586370744
94,RBF,5,100000,150,True,0.08723860791271416,0.005000902510883308
95,pairwise_kernels,5,100000,150,True,0.07796381433428608,0.0005011867075535816
96,faiss,10,100,10,True,0.00021653796042859797,1.648838580838121e-05
97,rbf_kernel,10,100,10,True,0.00042943612971404425,3.156941480487847e-05
98,RBF,10,100,10,True,7.62098682855919e-05,5.098672058630641e-06
99,pairwise_kernels,10,100,10,True,0.0004517281011432195,1.961336586511525e-05
100,faiss,10,100,50,True,0.00023944583499996953,1.632894815951687e-05
101,rbf_kernel,10,100,50,True,0.00047882770999993745,5.1606698302695446e-05
102,RBF,10,100,50,True,8.607943842863668e-05,4.2738651973444406e-06
103,pairwise_kernels,10,100,50,True,0.0004769225078569954,5.923801155686778e-06
104,faiss,10,100,150,True,0.00022871373371435765,1.3487501128018707e-05
105,rbf_kernel,10,100,150,True,0.0005891570115713227,4.758261939393668e-05
106,RBF,10,100,150,True,0.00012362045171435707,1.4222846667203458e-05
107,pairwise_kernels,10,100,150,True,0.0005823933771428398,1.3009062170667088e-05
108,faiss,10,1000,10,True,0.000257130228571311,1.4613452440680038e-05
109,rbf_kernel,10,1000,10,True,0.000574831421428306,2.257902149607666e-05
110,RBF,10,1000,10,True,0.00012085409442871813,8.658124672086642e-06
111,pairwise_kernels,10,1000,10,True,0.0006065520574284165,1.6516972649122782e-05
112,faiss,10,1000,50,True,0.0003245881932858278,1.5646777025219638e-05
113,rbf_kernel,10,1000,50,True,0.0007780038327143432,0.00011160778034763162
114,RBF,10,1000,50,True,0.00022235887385717694,5.944254281309299e-06
115,pairwise_kernels,10,1000,50,True,0.0007527209465711817,1.4098242860818908e-05
116,faiss,10,1000,150,True,0.0004305876775714361,1.4983515999891133e-05
